Name,Description,Requirements,Reward,Type,Sub_Type,Heist,Difficulty,Status,Completion Date,Source
Wrong Number,Complete the Hotline Miami job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Hotline Miami (DLC)
Overdose,"Cook and secure six bags of meth on day 1 of the Hotline Miami job. Unlocks the ""Graham"" mask, ""Ghetto Blaster"", ""Extended Mag"" and ""Just Bend It"" for the Blaster 9mm submachine gun, ""Error"" material and ""Be Somebody"" pattern.","Cook and secure six bags of meth on day one of the Hotline Miami job. Unlocks the Graham mask, Ghetto Blaster, Extended Mag and Just Bend It for the Blaster 9mm submachine gun, ""Error"" material and ""Be Somebody"" pattern.",Yes,Achievement,Heist,Hotline Miami,Normal,Incomplete,,Hotline Miami (DLC)
Phew!,"On day 2 of the Hotline Miami job, save someone in need. Unlocks the ""Aubrey"" mask, ""Ergo Grip"", ""Extended Mag"" and ""Unfolded Stock"" for the Cobra submachine gun, ""Sunset"" material and ""Doodles"" pattern.","On day two of the Hotline Miami job, save someone in need. Unlocks the Aubrey mask, Ergo Grip, Extended Mag and Unfolded Stock for the Cobra submachine gun, ""Sunset"" material and ""Doodles"" pattern.",Yes,Achievement,Heist,Hotline Miami,Normal,Incomplete,,Hotline Miami (DLC)
Walk Faster,"In day 2 of the Hotline Miami job, reach the Commissar's apartment in under 210 seconds on the OVERKILL difficulty or above. Unlocks the ""Rasmus"" mask, ""Tactical Foregrip"" and the ""Ergonomic Stock"" for the Uzi submachine gun, ""Chromescape"" material and ""Palmtrees"" pattern.","In day two of the Hotline Miami job, reach the Commissar’s apartment in under 210 seconds on the OVERKILL difficulty or above. Unlocks the Rasmus mask, Tactical Foregrip and the Ergonomic Stock for the Uzi submachine gun, “Chromescape” material and ""Palmtrees"" pattern.",Yes,Achievement,Heist,Hotline Miami,Overkill,Incomplete,,Hotline Miami (DLC)
State of the Art,Complete the Art Gallery job on the Death Wish difficulty or above.,Complete the Art Gallery heist on the Death Wish difficulty or above.,,Achievement,Completion,,Death Wish,Incomplete,,CrimeFest 2014
Why Don't We Just Use a Spoon?,"Complete the Hoxton Breakout job on the Normal difficulty or above. Unlocks ""Hoxton"" as a playable character and the ""Nova's Shank"" melee weapon.","Complete the Hoxton Breakout heist on the Normal difficulty or above. Unlocks ""Hoxton"" as a playable character and the ""Nova's Shank"" melee weapon.",Yes,Achievement,Completion,,Normal,Incomplete,,CrimeFest 2014
No Bars Can Hold Me,Complete the Hoxton Breakout job on the Death Wish difficulty or above.,Complete the Hoxton Breakout heist on the Death Wish difficulty or above.,,Achievement,Completion,,Death Wish,Incomplete,,CrimeFest 2014
Cavity,Hurt an enemy using the Nova's Shank melee weapon.,,,Achievement,Equipment,,Normal,Incomplete,,CrimeFest 2014
Sixth Nightmare,Complete the Safe House Nightmare job on the Death Wish difficulty or above.,This is a secret achievement. It is only obtainable during the Annual Halloween Event! Complete the Safe House Nightmare on the Death Wish difficulty or above.,,Achievement,Heist,Safe House Nightmare,Death Wish,Incomplete,,Halloween Event 2014
Death From Below,"Kill 25 enemies as they rappel using the Nagant sniper rifle. Unlocks the ""Constable"" mask, the ""Silenced Barrel"" and the ""Long Barrel"" for the Nagant sniper rifle, ""Gunsmoke"" material and ""Dazzle"" pattern.","Kill 25 enemies as they rappel using the Nagant sniper rifle. Unlocks the Constable mask, the Silenced Barrel and the Long Barrel for the Nagant sniper rifle, “Gunsmoke” material and “Dazzle” pattern.",Yes,Achievement,Equipment,,Normal,Incomplete,,Gage Historical Pack
Special Operations Execution,"Kill 25 enemies while in stealth using the Trench knife. Unlocks the ""Red Bear"" mask, ""Short Barrel"", ""Suppressed Barrel"", ""Short Mag"", ""Folded Stock"", ""No Stock"", ""Solid Stock"", ""Heatsinked Suppressed Barrel"" for the Patchett L2A1 submachine gun,"" Barrel Sight 44"", ""Damper.L 44 Nozzle"" for the Broomstick pistol, ""Red Sun"" material and ""Death Dealer"" pattern.","Kill 25 enemies while in stealth using the Trench knife. Unlocks the Red Bear mask, Short Barrel, Suppressed Barrel, Short Mag, Folded Stock, No Stock, Solid Stock, Heatsinked Suppressed Barrel for the Patchett L2A1 submachine gun, Barrel Sight 44, Damper.L 44 Nozzle for the Broomstick pistol, “Red Sun” material and “Death Dealer” pattern.",Yes,Achievement,Equipment,,Normal,Incomplete,,Gage Historical Pack
Wind of Change,"In the Hoxton Breakout job, complete the heist while you and your four man crew are wearing one different ""Historical"" mask each on the OVERKILL difficulty or above. Unlocks the ""Discreet Stock"" and ""Short Barrel"" for the Nagant sniper rifle, ""Precision Barrel"" for the Broomstick pistol, ""Extended Mag"" and ""Long Barrel"" for the Patchett L2A1 submachine gun and the ""Heatsinked Suppressed Barrel"" for the Buzzsaw 42 light machine gun.","In the Hoxton Breakout job, complete the heist while you and your four man crew are wearing one different ""Historical"" mask each on OVERKILL difficulty or above. Unlocks the Discreet Stock and Short Barrel for the Nagant sniper rifle, Precision Barrel for the Broomstick pistol, Extended Mag and Long Barrel for the Patchett L2A1 submachine gun and the Heatsinked Suppressed Barrel for the Buzzsaw 42 light machine gun.",Yes,Achievement,Heist,Hoxton Breakout,Overkill,Incomplete,,Gage Historical Pack
So Uncivilized,"Equip a Broomstick pistol with the Damper.L 44 Nozzle and the Barrel Sight 44. Unlocks the ""British Bulldog"" mask, ""High Capacity Mag"" and ""Holster Stock"" for the Broomstick pistol, ""Army Green"" material and ""Filthy Thirteen"" pattern.","Equip a Broomstick pistol with the Damper.L 44 Nozzle and the Barrel Sight 44. Unlocks the British Bulldog mask, High Capacity Mag and Holster Stock for the Broomstick pistol, ""Army Green"" material and ""Filthy Thirteen"" pattern.",Yes,Achievement,Inventory,,Normal,Incomplete,,Gage Historical Pack
Bullet Hell,"Kill 10 enemies within 10 seconds using the Buzzsaw 42 light machine gun. Unlocks the ""Old Blood and Guts"" mask, ""Light Barrel"" for the Buzzsaw 42 light machine gun, ""Patriot"" material and ""Captain War"" pattern.","Kill 10 enemies within 10 seconds using the Buzzsaw 42 light machine gun. Unlocks the Old Blood and Guts mask, Light Barrel for the Buzzsaw 42 light machine gun, ""Patriot"" material and ""Captain War"" pattern.",Yes,Achievement,Equipment,,Normal,Incomplete,,Gage Historical Pack
Vlad's Little Helpers,"Complete the White Xmas job on the Normal difficulty or above. Unlocks the ""Mrs. Claus"" mask.",Complete the White Xmas job on the Normal difficulty or above. Unlocks the “Mrs. Claus” mask.,Yes,Achievement,Completion,,Normal,Incomplete,,Christmas Event 2014
Stealing Christmas,"Complete the White Xmas job on the Hard difficulty or above. Unlocks the ""Strinch"" mask.",Complete the White Xmas job on the Hard difficulty or above. Unlocks the “Strinch” mask.,Yes,Achievement,Completion,,Hard,Incomplete,,Christmas Event 2014
Cancelling Santa's Christmas,"Complete the White Xmas job on the Very Hard difficulty or above. Unlocks the ""Krampus"" mask.",Complete the White Xmas job on the Very Hard difficulty or above. Unlocks the “Krampus” mask.,Yes,Achievement,Completion,,Very Hard,Incomplete,,Christmas Event 2014
Claustrophobia,"Complete the White Xmas job on the OVERKILL difficulty or above. Unlocks the ""Mechanical Santa"" mask.",Complete the White Xmas job on the OVERKILL difficulty or above. Unlocks the “Mechanical Santa” mask.,Yes,Achievement,Completion,White Xmas,Overkill,Incomplete,,Christmas Event 2014
Like Turkeys Voting for an Early Christmas,Complete the White Xmas job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Christmas Event 2014
Riders On the Snowstorm,"In the White Xmas job, complete the heist on the Death Wish difficulty or above while each crew member wears a different ""2014 Xmas"" mask each. Unlocks the ""Almir's Beard"" mask.","In the White Xmas job, complete the heist on the Death Wish difficulty or above while each crew member wear a different “2014 Xmas” mask each. Unlocks the “Almir’s Beard” mask.",Yes,Achievement,Heist,White Xmas,Death Wish,Incomplete,,Christmas Event 2014
"Impossible, It Can't Be. Is It?","In the White Xmas job, secure the rare Almir's Toast.","In the White Xmas job, secure the rare Almir’s Toast.",,Achievement,Heist,White Xmas,Normal,Incomplete,,Christmas Event 2014
Honor Among Thieves,"In The Diamond job, complete the heist while you and your four man crew are wearing one different ""Diamond Heist"" mask each on the OVERKILL difficulty or above.","In the Diamond job, complete the heist while you and your four man crew are wearing one different ""Diamond heist"" mask each on OVERKILL difficulty or above.",,Achievement,Heist,The Diamond,Overkill,Incomplete,,The Diamond Heist
Devil of a Job,Complete The Diamond job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,The Diamond Heist
Cat Burglar,"In The Diamond job, complete the heist without triggering the alarm. Unlocks ""The Cursed One"" mask, ""Sand"" material and ""Hieroglyphs"" pattern.",,Yes,Achievement,Heist,The Diamond,Normal,Incomplete,,The Diamond Heist
Culture Vultures,"In The Diamond job, secure 10 bags of additional loot. Unlocks the ""Medusa"" mask, ""Rusting Metal"" material and ""Runes"" pattern.",,Yes,Achievement,Heist,The Diamond,Normal,Incomplete,,The Diamond Heist
Smoke and Mirrors,"In The Diamond job, steal the Diamond and escape in under 10 minutes. Unlocks the ""Pazuzu"" mask, ""Diamond"" material and ""Horus"" pattern.",,Yes,Achievement,Heist,The Diamond,Normal,Incomplete,,The Diamond Heist
Diamonds in the Rough,"In The Diamond job, complete the heist, diamond puzzle and steal the Diamond after the alarm has been triggered on the OVERKILL difficulty or above. Unlocks the ""Anubis"" mask, ""Mummy Bandages"" material and ""Hawk Helm"" pattern.","In the Diamond job, complete the heist, diamond puzzle and steal the Diamond after the alarm has been triggered on OVERKILL difficulty or above. Unlocks the ""Anubis"" mask, ""Mummy Bandages"" material and ""Hawk Helm"" pattern.",Yes,Achievement,Heist,The Diamond,Overkill,Incomplete,,The Diamond Heist
Tabula Rasa,"In the Hoxton Breakout job, complete the heist on the OVERKILL difficulty or above with each crew member using no skills, wearing suits, wielding Golden AK.762 rifles and Chicago Typewriter submachine guns. Unlocks a new skill slot.","In the Hoxton Breakout job, complete the heist on OVERKILL difficulty or above with each crew member using no skills, wearing suits, wielding Golden AK.762 rifles and Chicago Typewriter submachine guns. Unlocks a new skill slot.",,Achievement,Heist,Hoxton Breakout,Overkill,Incomplete,,The Diamond Heist
Knockout!,"Knock out a Bulldozer using the OVERKILL boxing gloves. Unlocks ""The Champ"" mask.",,,Achievement,Equipment,,Normal,Incomplete,,Happy New Years 2015
Derailed,Complete The Bomb: Forest job on the Normal difficulty or above.,Complete the Bomb: Forest heist on any difficulty.,,Achievement,Completion,The Bomb: Forest,Normal,Incomplete,,The Bomb
A Pine in the Ass,Complete The Bomb: Forest job on the Death Wish difficulty or above.,Complete the Bomb: Forest heist on the Death Wish difficulty or above.,,Achievement,Completion,,Death Wish,Incomplete,,The Bomb
Beaver Team,"In The Bomb: Forest job, cut down all trees within 5 seconds. Unlocks the ""Butcher From Hell"" mask, ""Meat"" material and ""Pleter"" pattern.","In the Bomb: Forest heist, cut down all trees within 5 seconds during the plane escape. Unlocks the ""Butcher From Hell"" mask, ""Meat"" material and ""Pleter"" pattern.",Yes,Achievement,Heist,The Bomb: Forest,Normal,Incomplete,,The Bomb
Pump It Up,"In The Bomb: Forest job, do not let the cops disconnect the water hose while you are using the river water pump. Unlocks the ""Tech Lion"" mask, ""Marble Rock"" material and ""Lion Game Lion"" pattern.","In the Bomb: Forest heist, do not let the cops disconnect the water hose while you are using the river water pump. Unlocks the ""Tech Lion"" mask, ""Marble Rock"" material and ""Lion Game Lion"" pattern.",Yes,Achievement,Heist,The Bomb: Forest,Normal,Incomplete,,The Bomb
Oppressor,"Complete The Bomb: Forest job without letting any civilian flee or die, having at least five civilians in the heist, while escaping with the boat. Unlocks ""The Doctor"" mask, ""Plywood"" material and ""Caduceus"" pattern.","Finish the Bomb: Forest heist without letting any civilian flee or die, having at least five civilians in the heist, while escaping with the boat. Unlocks ""The Doctor"" mask, ""Plywood"" material and ""Caduceus"" pattern.",,Achievement,Heist,The Bomb: Forest,Normal,Incomplete,,The Bomb
Maiden Voyage,Complete The Bomb: Dockyard job on the Normal difficulty or above.,Complete the Bomb: Dockyard heist on any difficulty.,,Achievement,Completion,The Bomb: Dockyard,Normal,Incomplete,,The Bomb
Fisherman's Fiend,Complete The Bomb: Dockyard job on the Death Wish difficulty or above.,Complete the Bomb: Dockyard heist on the Death Wish difficulty or above.,,Achievement,Completion,,Death Wish,Incomplete,,The Bomb
Sneaking With the Fishes,"Complete The Bomb: Dockyard job in stealth on the Death Wish difficulty or above. Unlocks the ""Lady Butcher"" mask, ""Rhino"" material and ""Checker Board"" pattern.","Complete the Bomb: Dockyard heist in stealth on the Death Wish difficulty. Unlocks the ""Lady Butcher"" mask, ""Rhino"" material and ""Checker Board"" pattern.",Yes,Achievement,Heist,The Bomb: Dockyard,Death Wish,Incomplete,,The Bomb
Breaking Dead,"In The Bomb: Dockyard job, find the meth lab. Unlocks the ""Extended Mag"" for the LEO pistol.","In the Bomb: Dockyard heist, find the meth lab. Unlocks the ""Extended Mag"" for the LEO pistol.",Yes,Achievement,Heist,The Bomb: Dockyard,Normal,Incomplete,,The Bomb
I've Got the Power,"In The Bomb: Dockyard job, don't let the enemies cut the power. Unlocks the ""Long Slide"" for the LEO pistol.","In the Bomb: Dockyard heist, don't let the enemies cut the power. Unlocks the ""Long Slide"" for the LEO pistol.",Yes,Achievement,Heist,The Bomb: Dockyard,Normal,Incomplete,,The Bomb
Done in 60 Seconds,"In The Bomb: Dockyard job, open the dock gate in 60 seconds using the keycards. Unlocks the ""Custom Slide"" for the LEO pistol.","In the Bomb: Dockyard heist, open the dock gate in 60 seconds using the keycards. Unlocks the ""Custom Slide"" for the LEO pistol.",Yes,Achievement,Heist,The Bomb: Dockyard,Normal,Incomplete,,The Bomb
OVE SAW 72000,"In the Nightclub job, complete the heist on any difficulty with each crew member using the OVE 9000 saw as primary and secondary weapons. Unlocks the ""THRUST Upper Receiver"", ""THRUST Lower Receiver"" and ""Long Ergo Foregrip"" for the CAR weapon family.",,Yes,Achievement,Heist,Nightclub,Normal,Incomplete,,The Butcher's AK/CAR Mod Pack
Hey Mr. DJ,"In the Nightclub job, have 12 hostages or more on the dance floor when you escape. Unlocks the ""Aluminum Grip"" for the AK weapon family, the ""Aluminum Foregrip"" for the Krinkov submachine gun and the ""LW Upper Receiver"" for the CAR weapon family.",,Yes,Achievement,Heist,Nightclub,Normal,Incomplete,,The Butcher's AK/CAR Mod Pack
$1.8M Speedrun,"In the Mallcrasher job, loot $1,800,000 in loose cash within 50 seconds of starting the heist. The heist must be played on the OVERKILL difficulty. Unlocks the ""Scope Mount"" and ""PBS Suppressor"" for the AK weapon family, ""Alfred"" mask, ""Dawn"" material and ""Dinosaur Skull"" pattern.","In the Mallcrasher job, loot $1,800,000 in loose cash within 50 seconds of starting the heist on the OVERKILL difficulty. Unlocks the ""Scope Mount"" and ""PBS Suppressor"" for the AK weapon family, ""Alfred"" mask, ""Dawn"" material and ""Dinosaur Skull"" pattern.",Yes,Achievement,Heist,Mallcrasher,Overkill,Incomplete,,The Butcher's AK/CAR Mod Pack
Here Comes the Pain Train,"In the Firestarter job, complete the heist on the OVERKILL difficulty or above, with all days done in loud and with a crew of 4 players using unmodified ""AK Rifle"" rifles and ""PARA"" submachine guns. Unlocks the ""DMR Kit AK.762"" and the ""Low Drag Magazine"" for the AK weapon family, ""Timothy"" mask, ""Prehistoric"" material and ""Dinosaur Stripes"" pattern.","In the Firestarter job, complete the heist on OVERKILL difficulty or above, with all days done in loud and with a crew of 4 players using unmodified ""AK Rifle"" rifles and ""PARA"" submachine guns. Unlocks the ""DMR Kit AK.762"" and the ""Low Drag Magazine"" for the AK weapon family, ""Timothy"" mask, ""Prehistorical"" material and ""Dinosaur Stripes"" pattern.",Yes,Achievement,Heist,Firestarter,Overkill,Incomplete,,The Butcher's AK/CAR Mod Pack
The Wolf Lures You to Your Grave,"In the Art Gallery job, kill two of the patrolling guards in stealth in the bathroom. Unlocks the ""E.M.O. Foregrip"" and the ""OVAL Foregrip"" for the CAR weapon family and the ""Aftermarket Shorty"" for the PARA submachine gun.",,Yes,Achievement,Heist,Art Gallery,Normal,Incomplete,,The Butcher's AK/CAR Mod Pack
The Turtle Always Wins,"In the Art Gallery job, complete the heist in stealth within 4 minutes with each crew member wearing the Improved Combined Tactical Vest and no Armor Bag deployable equipped. Unlocks the ""Classic Stock"" for the AK weapon family, ""2 Piece Stock"" for the AK and CAR weapon families, ""Pachy"" mask, ""Fossil"" material and ""Prehistoric Predator"" pattern.","In the Art Gallery job, complete the heist in stealth within 4 minutes with each crew member wearing the Improved Combined Tactical Vest and no Armor Kit deployable equipped. Unlocks the ""Classic Stock"" for the AK weapon family, ""2 Piece Stock"" for the AK and CAR weapon families, ""Pachy"" mask, ""Fossil"" material and ""Prehistoric Predator"" pattern.",Yes,Achievement,Heist,Art Gallery,Normal,Incomplete,,The Butcher's AK/CAR Mod Pack
Private Party,"In the Jewelry store job, don't let the cops enter the jewelry store until the van comes back on the OVERKILL difficulty or above. Unlocks the ""DMR Kit AMR-16"" and the ""L5 Magazine"" for the CAR weapon family, ""Vincent"" mask, ""Feathers"" material and ""Dinosaur Scars"" pattern.","In the Jewelry store job, don't let the cops enter the jewelry store until the van comes back on OVERKILL difficulty or above. Unlocks the ""DMR Kit AMR-16"" and the ""L5 Magazine"" for the CAR weapon family, ""Vincent"" mask, ""Feathers"" material and ""Dinosaur Scars"" pattern.",Yes,Achievement,Heist,Jewelry Store,Overkill,Incomplete,,The Butcher's AK/CAR Mod Pack
The Collector,"Kill 100 cops using only weapons from the AK or CAR weapon families. Unlocks the ""Keymod Rail"", the ""Crabs Rail"" and the ""Modern Barrel"" for the AK weapon family.",,Yes,Achievement,Equipment,,Normal,Incomplete,,The Butcher's AK/CAR Mod Pack
Becoming Villainous,Reach the sixth rank of Infamy.,Reach the sixth level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Abominable,Reach the seventh rank of Infamy.,Reach the seventh level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Fiendish,Reach the eighth rank of Infamy.,Reach the eight level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Heinous,Reach the ninth rank of Infamy.,Reach the ninth level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Mean,Reach the tenth rank of Infamy.,Reach the tenth level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Dangerous,Reach the eleventh rank of Infamy.,Reach the eleventh level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Fearless,Reach the twelfth rank of Infamy.,Reach the twelveth level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Nefarious,Reach the thirteenth rank of Infamy.,Reach the thirdeenth level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Disreputable,Reach the fourteenth rank of Infamy.,Reach the fourtheenth level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Fearful,Reach the fifteenth rank of Infamy.,Reach the fiftheenth level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Opprobrious,Reach the sixteenth rank of Infamy.,Reach the sixteenth level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Shady,Reach the seventeenth rank of Infamy.,Reach the seventeenth level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Savage,Reach the eighteenth rank of Infamy.,Reach the eighteenth level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Abhorrent,Reach the nineteenth rank of Infamy.,Reach the nineteenth level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Sly,Reach the twentieth rank of Infamy.,Reach the twentieth level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Crafty,Reach the twenty-first rank of Infamy.,Reach the twenty first level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Shameless,Reach the twenty-second rank of Infamy.,Reach the twenty second level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Diabolical,Reach the twenty-third rank of Infamy.,Reach the twenty third level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Ferocious,Reach the twenty-fourth rank of Infamy.,Reach the twenty fourth level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Becoming Monstrous,Reach the twenty-fifth rank of Infamy.,Reach the twenty fifth level of Infamy.,,Achievement,Progression,,Normal,Incomplete,,Infamy 2.0
Cooking With Style,"Complete the Rats job with you and your four man crew having Combined Tactical Vests, Vulcan Miniguns, HRL-7 Rocket Launchers and ""General OVERKILL"" masks equipped on the OVERKILL difficulty or above.","Complete the Rats job with you and your four man crew having Combined Tactical Vests, Vulcan Miniguns, HRL-7 Rocket Launchers and General Overkill masks equipped on the OVERKILL difficulty or above.",,Achievement,Heist,Rats,Overkill,Incomplete,,The OVERKILL Pack
I Have No Idea What I'm Doing,"In the Shadow Raid job, complete the heist in stealth while having the Vulcan Minigun and HRL-7 Rocket Launcher equipped.",,,Achievement,Heist,Shadow Raid,Normal,Incomplete,,The OVERKILL Pack
"Oh, That's How You Do It",Fire the Vulcan Minigun for 25 seconds without reloading or letting go of the trigger.,,,Achievement,Equipment,,Normal,Incomplete,,The OVERKILL Pack
We Are Rockstars On This Job,"Complete the Watchdogs job with each crew member using no skills, wielding the AMCAR Rifle and Chimano 88 Pistol on the OVERKILL difficulty or above.","Complete the Watchdogs job with each crew member using no skills, wielding the AMCAR Rifle and Chimano 88 Pistol on OVERKILL difficulty or above.",,Achievement,Heist,Watchdogs,Overkill,Incomplete,,The OVERKILL Pack
Reputation Beyond Reproach,"In the Breaking Ballot heist of the Election Day job, complete the heist with you and your four man crew without letting anyone getting downed, cloaked or cuffed on the Death Wish difficulty or above.","In the Breaking Ballot heist in the Election Day job, complete the heist with you and your four man crew without letting anyone get downed, cloaked or cuffed on the Death Wish difficulty or above.",,Achievement,Heist,Election Day,Death Wish,Incomplete,,The OVERKILL Pack
House Keeping,"In the Big Oil job, complete day 1 in stealth on the OVERKILL difficulty or above.","In the Big Oil job, complete day one in stealth on the OVERKILL difficulty or above.",,Achievement,Heist,Big Oil,Overkill,Incomplete,,The OVERKILL Pack
120 Proof,"Kill 120 or more enemies in any day in a heist, with you and your four man crew having at least 120% crew accuracy at the end of the heist.","Kill 120 or more enemies in any day in any job, with you and your four man crew having at least 120% crew accuracy at the end of the heist.",,Achievement,Equipment,,Normal,Incomplete,,The OVERKILL Pack
Boston Saints,"Complete the Big Oil job, with at least one other player, all using suits and Akimbo Bernetti 9 Pistols on the OVERKILL difficulty or above.",,,Achievement,Heist,Big Oil,Overkill,Incomplete,,The OVERKILL Pack
Bring Your Cop To Work Day,"On any day of a heist, have four law enforcers converted at the same time on the OVERKILL difficulty or above.","On any heist, have four law enforcers converted at the same time on the OVERKILL difficulty or above.",,Achievement,Misc,,Overkill,Incomplete,,The OVERKILL Pack
Wasteful,"On day 1 of the Firestarter job, complete heist having burned all weapons on the Death Wish difficulty or above.","In the Firestarter job, complete day one having burned all weapons on the Death Wish difficulty or above.",,Achievement,Heist,Firestarter,Death Wish,Incomplete,,The OVERKILL Pack
Speedlock Holmes,"On day 1 of the Election Day job, tag the right truck and leave within a minute of the start of the heist.",,,Achievement,Heist,Election Day,Normal,Incomplete,,Spring Break Event
Nothing Out of the Ordinary,Answer 4 pagers by yourself within 90 seconds from the first to the last pager.,Answer 4 pagers by yourself within 90 seconds from first to last pager.,,Achievement,Misc,,Normal,Incomplete,,Spring Break Event
Situation Normal,"In the Hoxton Breakout job, complete day 2 without using a single keycard on the OVERKILL difficulty or above.",,,Achievement,Heist,Hoxton Breakout,Overkill,Incomplete,,Spring Break Event
Keep the Party Going,"In the Nightclub job, zip-tie the DJ and bring him to the escape zone by the escape van.",,,Achievement,Heist,Nightclub,Normal,Incomplete,,Spring Break Event
It's Getting Hot in Here,"In the Firestarter job, complete day 3 with you and your crew staying inside the vault while all of the money burns out on the Death Wish difficulty or above.","In the Firestarter job, complete day 3 with you and your crew staying inside the vault while all of the money burns out on the Death Wish difficulty.",,Achievement,Heist,Firestarter,Death Wish,Incomplete,,Spring Break Event
Cooking By the Book,Complete the Cook Off job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Spring Break Event
"Tag, You're It!","In the Car Shop job, be the first player in a four-man crew to reach the docks.",Be the first player in a four man crew to reach the docks.,,Achievement,Heist,Car Shop,Normal,Incomplete,,Spring Break Event
A Dish Best Served Cold,Complete the Hoxton Revenge job on the Death Wish difficulty or above.,,,Achievement,Completion,,Death Wish,Incomplete,,Spring Break Event
Silent But Deadly,Complete the Hoxton Revenge job without triggering the alarm.,,,Achievement,Heist,Hoxton Revenge,Normal,Incomplete,,Spring Break Event
Gone in 240 Seconds,"In the Car Shop job, complete the heist within 4 minutes. Unlocks ""The Tids"" mask.",,Yes,Achievement,Heist,Car Shop,Normal,Incomplete,,Spring Break Event
I'm An Avenger!,"Kill the traitor. Unlocks ""The Hard Hat"" mask.",Kill the traitor.,,Achievement,Heist,Hoxton Revenge,Normal,Incomplete,,Spring Break Event
Disco Inferno,"Have 10 enemies burning simultaneously. Unlocks the ""Graug"" mask, ""Coal"" material and ""Fireborn"" pattern.",,Yes,Achievement,Equipment,,Normal,Incomplete,,The Butcher's BBQ Pack
"Stick a Fork in Me, I'm Done","Set an enemy on fire and kill him with the ""Motherforker"" melee weapon. Unlocks ""The Gas Mask"" mask, ""Candlelight"" material and ""Flammable"" pattern.",,,Achievement,Equipment,,Normal,Incomplete,,The Butcher's BBQ Pack
Not Invited,"Kill 10 enemies within 10 seconds using the Piglet Grenade Launcher without using Incendiary rounds. Unlocks the ""Firefighter's Helmet"" mask, ""Burn"" material and ""Flamer"" pattern.","Kill 10 enemies within 10 seconds using the Piglet Grenade Launcher. Unlocks the ""Firefighter's Helmet"" mask, ""Burn"" material and ""Flamer"" pattern.",Yes,Achievement,Equipment,,Normal,Incomplete,,The Butcher's BBQ Pack
OVERGRILL,"Set a Bulldozer on fire for at least 10 seconds. Unlocks ""The Chef"" mask, ""Toast"" material and ""Hot Flames"" pattern.",,,Achievement,Equipment,,Normal,Incomplete,,The Butcher's BBQ Pack
High Octane,Complete the Car Shop job on the Death Wish difficulty or above.,Complete the Car Shop heist on the Death Wish difficulty or above.,,Achievement,Completion,,Death Wish,Incomplete,,The Butcher's BBQ Pack
Pink Slip,Enter a drivable vehicle.,,,Achievement,Misc,,Normal,Incomplete,,The Butcher's BBQ Pack
Recycling,"Pick up 100 arrows. Unlocks the ""Desert Skull"" mask, ""Western Sunset"" material and ""Mystical"" pattern.",Pick up 100 arrows.,Yes,Achievement,Equipment,,Normal,Incomplete,,The Butcher's Western Pack
The Nobel Prize,"Kill 3 enemies at the same time with the Dynamite. Unlocks the ""Wild West Classic"" mask, ""Cactus"" material and ""Coyote"" pattern.",Kill 3 enemies at the same time with the Dynamite.,Yes,Achievement,Equipment,,Normal,Incomplete,,The Butcher's Western Pack
Hedgehog,"Get 10 or more arrows stuck in a Bulldozer at the same time. Unlocks the ""Lone Heister"" mask, ""Scorpion"" material and ""Totem"" pattern.",Get 10 or more arrows stuck in a Bulldozer at the same time.,Yes,Achievement,Equipment,,Normal,Incomplete,,The Butcher's Western Pack
